indice,fecha,Region,Generacion Termica actual (MU),Generacion Termica Estimada (MU),Generacion Eolica Actual (MU),Generacion Eolica Estimada (MU),Hidro Generacion Actual (MU),Hidro Generacion Estimada (MU)
78,9/16/2017,Caribe,486.07,443.23,0.00,0.00,85.94,79.07
79,9/16/2017,Huetar Norte,29.11,29.85,0.00,0.00,24.64,19.61
80,9/17/2017,Central y Norte,628.08,682.88,30.36,30.79,273.27,242.68
81,9/17/2017,Pacifico,1131.56,1164.03,25.17,3.87,72,12.37
82,9/17/2017,Zona Sur,596.08,494.17,62.73,55.03,111.57,43.19
83,9/17/2017,Caribe,486.07,421.62,0.00,0.00,85.94,72.32
84,9/17/2017,Huetar Norte,29.11,28.72,0.00,0.00,24.64,19.98
85,9/18/2017,Central y Norte,628.08,701.28,30.36,28.65,273.27,244.07
86,9/18/2017,Pacifico,1131.56,1172.61,25.17,3.85,72,15.09
87,9/18/2017,Zona Sur,596.08,480.53,62.73,55.2,111.57,53.84
88,9/18/2017,Caribe,486.07,390.63,0.00,0.00,85.94,67.06
89,9/18/2017,Huetar Norte,29.11,28.67,0.00,0.00,24.64,20.88
90,9/19/2017,Central y Norte,628.08,704.14,30.36,26.21,273.27,240.35
91,9/19/2017,Pacifico,1131.56,1171.83,25.17,3.85,72,15.72
92,9/19/2017,Zona Sur,596.08,472.32,62.73,55.17,111.57,58.74
93,9/19/2017,Caribe,486.07,417.92,0.00,0.00,85.94,69.41
94,9/19/2017,Huetar Norte,29.11,30.77,0.00,0.00,24.64,20.24
95,9/20/2017,Central y Norte,624.13,719.08,30.36,26.15,273.27,238.72
96,9/20/2017,Pacifico,1131.56,1138.76,25.17,3.85,72,19.65
97,9/20/2017,Zona Sur,584.76,479.67,62.73,55.13,111.57,78.19
98,9/20/2017,Caribe,486.07,418.22,0.00,0.00,85.94,66.42
99,9/20/2017,Huetar Norte,29.11,30.31,0.00,0.00,24.64,21.97
100,9/21/2017,Central y Norte,624.13,710.69,30.36,26.18,273.27,239.27
101,9/21/2017,Pacifico,1131.56,1142.49,25.17,3.84,72,16.74
102,9/21/2017,Zona Sur,596.96,524.5,62.73,55.23,111.57,95.32
103,9/21/2017,Caribe,486.07,438.6,0.00,0.00,85.94,76.02
104,9/21/2017,Huetar Norte,29.11,27.53,0.00,0.00,24.64,22.08
105,9/22/2017,Central y Norte,222.44,209.74,0.00,0.00,68.81,62.09
106,9/22/2017,Pacifico,419.55,409.17,0.00,0.00,44.54,3.8
107,9/22/2017,Zona Sur,270.69,191.91,0.00,0.00,0.00,0
108,9/22/2017,Caribe,147.51,138.3,0.00,0.00,3.37,2.65
109,9/22/2017,Huetar Norte,12.34,12.38,0.00,0.00,0.00,0
110,9/23/2017,Central y Norte,624.13,523.93,30.36,30.2,273.27,279.9
111,9/23/2017,Pacifico,1135.69,1146.57,25.17,3.83,72,21.41
112,9/23/2017,Zona Sur,587.32,578.34,62.73,55.46,111.57,101.99
113,9/23/2017,Caribe,486.07,436.38,0.00,0.00,85.94,73.2
114,9/23/2017,Huetar Norte,29.11,28.05,0.00,0.00,24.64,21.42
115,9/24/2017,Central y Norte,624.13,520.12,30.36,31.43,273.27,292.18
116,9/24/2017,Pacifico,1140.12,1168.59,25.17,3.83,72,16.95
117,9/24/2017,Zona Sur,587.32,556.37,62.73,55.38,111.57,72.42
118,9/24/2017,Caribe,486.07,437.88,0.00,0.00,85.94,64.41
119,9/24/2017,Huetar Norte,29.11,29.49,0.00,0.00,24.64,24.36
120,9/25/2017,Central y Norte,624.13,571.59,30.36,31.41,273.27,303.26
121,9/25/2017,Pacifico,1140.12,1205.39,25.17,3.82,72,23.85
122,9/25/2017,Zona Sur,591.15,550.65,62.73,55.41,111.57,77.38
123,9/25/2017,Caribe,486.07,449.09,0.00,0.00,85.94,71.43
124,9/25/2017,Huetar Norte,29.11,29.55,0.00,0.00,24.64,22.31
125,9/26/2017,Central y Norte,626.73,646.01,30.36,31.99,273.27,261.67
126,9/26/2017,Pacifico,1140.12,1237.06,25.17,3.84,72,28.24
127,9/26/2017,Zona Sur,591.15,535.81,62.73,52.14,111.57,87.54
128,9/26/2017,Caribe,486.07,453.26,0.00,0.00,85.94,72.9
129,9/26/2017,Huetar Norte,29.11,30.02,0.00,0.00,24.64,21.85
130,9/27/2017,Central y Norte,626.73,661.69,30.36,35.54,273.27,254.28
131,9/27/2017,Pacifico,1140.12,1245.38,25.17,3.85,72,30.32
132,9/27/2017,Zona Sur,591.15,543.71,62.73,42.16,111.57,79.2
133,9/27/2017,Caribe,486.07,445.78,0.00,0.00,85.94,73.83
134,9/27/2017,Huetar Norte,29.11,30.1,0.00,0.00,24.64,21.47
135,9/28/2017,Central y Norte,630.62,668.2,30.36,35.75,273.27,248.29
136,9/28/2017,Pacifico,1140.12,1241.16,25.17,3.83,72,26.39
137,9/28/2017,Zona Sur,591.15,513.01,62.73,42.24,111.57,82.36
138,9/28/2017,Caribe,486.07,431.07,0.00,0.00,85.94,70.97
139,9/28/2017,Huetar Norte,29.11,30.25,0.00,0.00,24.64,22.83
140,9/29/2017,Central y Norte,630.62,649.48,30.36,35.81,273.27,240.09
141,9/29/2017,Pacifico,1140.12,1203.24,25.17,16.81,72,19.59
142,9/29/2017,Zona Sur,601.66,485.78,62.73,40.27,111.57,83.47
143,9/29/2017,Caribe,486.07,417.12,0.00,0.00,85.94,71.65
144,9/29/2017,Huetar Norte,29.11,29.71,0.00,0.00,24.64,25.09
145,9/30/2017,Central y Norte,630.62,661.15,30.36,35.83,273.27,236.19
146,9/30/2017,Pacifico,1140.12,1134.40,25.17,16.82,72,18.41
147,9/30/2017,Zona Sur,601.66,475.84,62.73,40.47,111.57,69.71
148,9/30/2017,Caribe,486.07,403.41,0.00,0.00,85.94,71.71
149,9/30/2017,Huetar Norte,29.11,29.41,0.00,0.00,24.64,27.65
150,10/1/2017,Central y Norte,621.75,650.52,25.8,36.17,157.46,222.85
151,10/1/2017,Pacifico,1155.30,1139.73,25.13,16.84,57.11,14.03
152,10/1/2017,Zona Sur,575.7,466.38,47.73,40.16,92.06,49.74
153,10/1/2017,Caribe,479.5,382.63,0.00,0.00,63.36,71.06
154,10/1/2017,Huetar Norte,29.16,29.11,0.00,0.00,17.17,27.48
155,10/3/2017,Central y Norte,621.75,691.52,25.8,36.03,157.46,218.56
156,10/3/2017,Pacifico,1155.30,1215.31,25.13,16.83,57.11,39.96
157,10/3/2017,Zona Sur,575.7,523.36,47.73,41.91,92.06,67.76
158,10/3/2017,Caribe,479.5,396.4,0.00,0.00,63.36,76.3
159,10/3/2017,Huetar Norte,29.16,29.33,0.00,0.00,17.17,25.78
160,10/4/2017,Central y Norte,621.75,719.34,25.8,35.95,157.46,216.91
161,10/4/2017,Pacifico,1155.30,1206.24,25.13,16.84,57.11,45.92
162,10/4/2017,Zona Sur,575.7,548,47.73,43.93,92.06,80.9
163,10/4/2017,Caribe,479.5,387.92,0.00,0.00,63.36,80.68
164,10/4/2017,Huetar Norte,29.16,30.12,0.00,0.00,17.17,25.15
165,10/5/2017,Central y Norte,621.75,741.62,25.8,35.91,157.46,212.62
166,10/5/2017,Pacifico,1150.82,1221.59,25.13,16.83,57.11,33.89
167,10/5/2017,Zona Sur,575.7,577.17,47.73,45.3,92.06,74.98
168,10/5/2017,Caribe,479.5,387.85,0.00,0.00,63.36,81.2
169,10/5/2017,Huetar Norte,29.16,31.05,0.00,0.00,17.17,24.35
170,10/6/2017,Central y Norte,621.75,742.06,25.8,35.87,157.46,209.7
171,10/6/2017,Pacifico,1150.82,1212.64,25.13,16.83,57.11,31.23
172,10/6/2017,Zona Sur,581.31,569.68,47.73,45.87,92.06,65.89
173,10/6/2017,Caribe,479.5,401.48,0.00,0.00,63.36,77.08
174,10/6/2017,Huetar Norte,29.16,31.36,0.00,0.00,17.17,23.01
175,10/7/2017,Central y Norte,621.75,750.1,25.8,36.04,157.46,208
176,10/7/2017,Pacifico,1150.82,1203.27,25.13,16.83,57.11,24.51
177,10/7/2017,Zona Sur,581.31,573.48,47.73,46.09,92.06,74.06
178,10/7/2017,Caribe,479.5,402.74,0.00,0.00,63.36,73.75
179,10/7/2017,Huetar Norte,29.16,30.95,0.00,0.00,17.17,21.94
180,10/8/2017,Central y Norte,621.75,728.14,25.8,36.1,157.46,200.47
181,10/8/2017,Pacifico,1150.82,1157.01,25.13,16.84,57.11,16.51
182,10/8/2017,Zona Sur,590.19,524.03,47.73,46.26,92.06,71.65
183,10/8/2017,Caribe,479.5,404.25,0.00,0.00,63.36,72.49
184,10/8/2017,Huetar Norte,29.16,30.12,0.00,0.00,17.17,19.52
185,10/9/2017,Central y Norte,621.75,727.35,25.8,36.01,157.46,195.33
186,10/9/2017,Pacifico,1155.30,1160.06,25.13,16.83,57.11,18.71
187,10/9/2017,Zona Sur,590.19,550.53,47.73,46.15,92.06,94.72
188,10/9/2017,Caribe,479.5,413.99,0.00,0.00,63.36,66.62
189,10/9/2017,Huetar Norte,29.16,30.21,0.00,0.00,17.17,20.29
190,10/10/2017,Central y Norte,621.75,721.26,25.8,36.06,157.46,191.8
191,10/10/2017,Pacifico,1155.30,1178.27,25.13,15.68,57.11,19.31
192,10/10/2017,Zona Sur,590.19,558.62,47.73,46.2,92.06,111.74
193,10/10/2017,Caribe,479.5,419.5,0.00,0.00,63.36,69.8
194,10/10/2017,Huetar Norte,29.16,30.48,0.00,0.00,17.17,21.31
195,10/11/2017,Central y Norte,621.75,714.42,25.8,35.96,157.46,185.07
196,10/11/2017,Pacifico,1155.30,1191.84,25.13,16.02,57.11,19.11
197,10/11/2017,Zona Sur,598.81,571.5,47.73,46.36,92.06,102.52
198,10/11/2017,Caribe,486.88,416.31,0.00,0.00,63.36,73.77
199,10/11/2017,Huetar Norte,29.16,30.17,0.00,0.00,17.17,21.88
200,10/12/2017,Central y Norte,621.75,703.75,25.8,35.79,157.46,180.93
201,10/12/2017,Pacifico,1155.30,1219.13,25.13,16.63,57.11,19.93
202,10/12/2017,Zona Sur,598.81,574.58,47.73,46.41,92.06,102.35
203,10/12/2017,Caribe,486.88,412.28,0.00,0.00,63.36,76.79
204,10/12/2017,Huetar Norte,29.16,29.92,0.00,0.00,17.17,19.9
205,10/13/2017,Central y Norte,621.75,704.49,25.8,36.05,157.46,177.37
206,10/13/2017,Pacifico,1155.30,1226.64,25.13,16.88,57.11,21.27
207,10/13/2017,Zona Sur,598.81,565.98,47.73,46.48,92.06,105.72
208,10/13/2017,Caribe,486.88,400.19,0.00,0.00,63.36,72.37
209,10/13/2017,Huetar Norte,29.16,29.63,0.00,0.00,17.17,21.15
210,10/14/2017,Central y Norte,618.71,684.25,25.8,36.09,157.46,170.48
211,10/14/2017,Pacifico,1155.30,1205.16,25.13,16.82,57.11,19.68
212,10/14/2017,Zona Sur,598.81,558.71,47.73,46.41,92.06,95.59
213,10/14/2017,Caribe,486.88,419.29,0.00,0.00,63.36,74.79
214,10/14/2017,Huetar Norte,29.16,28.71,0.00,0.00,17.17,20.9
215,10/15/2017,Central y Norte,633.77,655.21,25.8,36.08,157.46,165.81
216,10/15/2017,Pacifico,1155.30,1180.41,25.13,16.89,57.11,17.75
217,10/15/2017,Zona Sur,594.31,478.54,47.73,46.67,92.06,88.74
218,10/15/2017,Caribe,486.88,407.83,0.00,0.00,63.36,76.3
219,10/15/2017,Huetar Norte,29.16,29.87,0.00,0.00,17.17,23.29
220,10/16/2017,Central y Norte,626.17,656.71,25.8,36.31,157.46,161.47
221,10/16/2017,Pacifico,1155.30,1211.94,25.13,16.89,57.11,21.39
222,10/16/2017,Zona Sur,602.87,493.32,47.73,48.22,92.06,96.55
223,10/16/2017,Caribe,486.88,413.23,0.00,0.00,63.36,49.46
224,10/16/2017,Huetar Norte,29.16,30.68,0.00,0.00,17.17,21.29
225,10/17/2017,Central y Norte,629.21,684.75,25.8,36.35,157.46,160.11
226,10/17/2017,Pacifico,1155.30,1219.80,25.13,16.86,57.11,18.38
227,10/17/2017,Zona Sur,602.87,528.9,47.73,50.7,92.06,98.5
228,10/17/2017,Caribe,486.88,436.6,0.00,0.00,63.36,63.63
229,10/17/2017,Huetar Norte,29.16,34.05,0.00,0.00,17.17,20.2
230,10/18/2017,Central y Norte,629.21,670.18,25.8,36.43,157.46,156.53
231,10/18/2017,Pacifico,1155.30,1189.18,25.13,16.86,57.11,15.19
232,10/18/2017,Zona Sur,589.87,510.02,47.73,52.29,92.06,85.72
233,10/18/2017,Caribe,486.88,432.78,0.00,0.00,63.36,59.9
234,10/18/2017,Huetar Norte,29.16,33.71,0.00,0.00,17.17,20.02
235,10/19/2017,Central y Norte,639.52,628.37,25.8,36.34,157.46,157.32
236,10/19/2017,Pacifico,1153.02,1121.42,25.13,16.85,57.11,14.78
237,10/19/2017,Zona Sur,594.32,464.41,47.73,41.63,92.06,85.16
238,10/19/2017,Caribe,486.88,421.01,0.00,0.00,63.36,54.78
239,10/19/2017,Huetar Norte,29.16,31.1,0.00,0.00,17.17,17.45
240,10/20/2017,Central y Norte,628.36,588.78,25.8,36.12,157.46,154.62
241,10/20/2017,Pacifico,1128.44,1055.67,25.13,16.85,57.11,11.26
242,10/20/2017,Zona Sur,594.32,483.91,47.73,43.79,92.06,90.58
243,10/20/2017,Caribe,484.8,405.91,0.00,0.00,63.36,55.7
244,10/20/2017,Huetar Norte,29.16,28.76,0.00,0.00,17.17,16.83
245,10/21/2017,Central y Norte,628.36,580.35,25.8,36.26,157.46,152.29
246,10/21/2017,Pacifico,1128.44,1056.42,25.13,16.87,57.11,15.28
247,10/21/2017,Zona Sur,594.32,525.17,47.73,44.67,92.06,77.77
248,10/21/2017,Caribe,473.75,396.47,0.00,0.00,63.36,53.33
249,10/21/2017,Huetar Norte,29.16,27.34,0.00,0.00,17.17,17.32
250,10/22/2017,Central y Norte,628.36,593.12,25.8,36.44,157.46,151.8
251,10/22/2017,Pacifico,1128.44,1049.49,25.13,16.85,57.11,12.52
252,10/22/2017,Zona Sur,594.32,512.06,47.73,46.27,92.06,61.65
253,10/22/2017,Caribe,469.18,412.41,0.00,0.00,63.36,54.17
254,10/22/2017,Huetar Norte,29.16,26.81,0.00,0.00,17.17,22.23
255,10/23/2017,Central y Norte,628.36,618.21,25.8,36.49,157.46,149.28
256,10/23/2017,Pacifico,1128.44,1131.33,25.13,16.85,57.11,17.87
257,10/23/2017,Zona Sur,603.99,555.74,47.73,49.1,92.06,85.78
258,10/23/2017,Caribe,467.82,431.59,0.00,0.00,63.36,53.03
259,10/23/2017,Huetar Norte,29.16,28.16,0.00,0.00,17.17,23.78
260,10/24/2017,Central y Norte,625.88,643.17,25.8,36.56,157.46,141.92
261,10/24/2017,Pacifico,1128.44,1181.98,25.13,16.91,57.11,17.72
262,10/24/2017,Zona Sur,603.99,608.18,47.73,51.06,92.06,72.52
263,10/24/2017,Caribe,467.82,440.35,0.00,0.00,63.36,64.65
264,10/24/2017,Huetar Norte,29.16,29.52,0.00,0.00,17.17,23.06
265,10/25/2017,Central y Norte,625.88,639.06,25.8,36.58,157.46,139.43
266,10/25/2017,Pacifico,1127.02,1198.23,25.13,16.77,57.11,22.42
267,10/25/2017,Zona Sur,615.28,607.05,47.73,52.72,92.06,89.02
268,10/25/2017,Caribe,467.82,438.69,0.00,0.00,63.36,58.72
269,10/25/2017,Huetar Norte,29.16,28.7,0.00,0.00,17.17,22.27
270,10/26/2017,Central y Norte,625.88,619.47,25.8,36.55,157.46,138.04
271,10/26/2017,Pacifico,1127.02,1196.07,25.13,16.89,57.11,20.57
272,10/26/2017,Zona Sur,615.28,599.14,47.73,52.81,92.06,86.3
273,10/26/2017,Caribe,467.82,439.32,0.00,0.00,63.36,54.62
274,10/26/2017,Huetar Norte,29.16,28.93,0.00,0.00,17.17,20.61
275,10/27/2017,Central y Norte,625.88,623.01,25.8,36.65,157.46,138.15
276,10/27/2017,Pacifico,1127.02,1204.84,25.13,16.85,57.11,22.28
277,10/27/2017,Zona Sur,615.28,610.91,47.73,53.12,92.06,77.1
278,10/27/2017,Caribe,469.9,429.63,0.00,0.00,63.36,47.09
279,10/27/2017,Huetar Norte,29.16,28.62,0.00,0.00,17.17,19.41
280,10/28/2017,Central y Norte,614.95,625.74,25.8,36.6,157.46,135.12
281,10/28/2017,Pacifico,1127.02,1209.65,25.13,16.85,57.11,20.68
282,10/28/2017,Zona Sur,615.28,604,47.73,53.9,92.06,71.45
283,10/28/2017,Caribe,469.9,429.2,0.00,0.00,63.36,42.38
284,10/28/2017,Huetar Norte,29.16,27.32,0.00,0.00,17.17,19.11
285,10/29/2017,Central y Norte,614.95,586.92,25.8,36.66,157.46,132.36
286,10/29/2017,Pacifico,1127.02,1191.91,25.13,16.84,57.11,17.71
287,10/29/2017,Zona Sur,615.28,583.51,47.73,55.06,92.06,58.36
288,10/29/2017,Caribe,469.9,422.93,0.00,0.00,63.36,41.81
289,10/29/2017,Huetar Norte,29.16,28.06,0.00,0.00,17.17,19.27
290,10/30/2017,Central y Norte,614.95,582.12,25.8,36.65,157.46,132.53
291,10/30/2017,Pacifico,1127.02,1213.04,25.13,16.84,57.11,16.62
292,10/30/2017,Zona Sur,615.28,582.53,47.73,55.46,92.06,63.28
293,10/30/2017,Caribe,469.9,425.51,0.00,0.00,63.36,40.32
294,10/30/2017,Huetar Norte,29.16,28.94,0.00,0.00,17.17,19.26
295,10/31/2017,Central y Norte,614.95,587.37,25.8,36.67,157.46,131.11
296,10/31/2017,Pacifico,1127.02,1229.73,25.13,16.85,57.11,20.03
297,10/31/2017,Zona Sur,622.28,570.04,47.73,55.57,92.06,70.49
298,10/31/2017,Caribe,469.9,422.94,0.00,0.00,63.36,41.37
299,10/31/2017,Huetar Norte,29.16,28.6,0.00,0.00,17.17,19.04
300,11/1/2017,Central y Norte,596.89,597.39,16.8,36.61,117.5,130.08
301,11/1/2017,Pacifico,1100.43,1204.17,25.17,16.89,45.87,19.18
302,11/1/2017,Zona Sur,594.88,559.27,47.83,55.68,72.56,55.19
303,11/1/2017,Caribe,451.11,430.68,0.00,0.00,36.75,39.83
304,11/1/2017,Huetar Norte,29.11,32.12,0.00,0.00,12.92,17.97
305,11/2/2017,Central y Norte,596.89,610.59,16.8,36.55,117.5,132.07
306,11/2/2017,Pacifico,1100.43,1204.19,25.17,16.87,45.87,22.3
307,11/2/2017,Zona Sur,594.88,544.18,47.83,55.78,72.56,72.05
308,11/2/2017,Caribe,451.11,422.37,0.00,0.00,36.75,40.95
309,11/2/2017,Huetar Norte,29.11,33.99,0.00,0.00,12.92,16.71
310,11/3/2017,Central y Norte,596.89,610.97,16.8,36.64,117.5,129.47
311,11/3/2017,Pacifico,1101.82,1194.05,25.17,16.86,45.87,20.65
312,11/3/2017,Zona Sur,594.88,535.8,47.83,55.96,72.56,71.23
313,11/3/2017,Caribe,451.11,437.55,0.00,0.00,36.75,40.48
314,11/3/2017,Huetar Norte,29.11,34.66,0.00,0.00,12.92,15.75
315,11/4/2017,Central y Norte,596.89,627.31,16.8,36.71,117.5,125.23
316,11/4/2017,Pacifico,1101.82,1144.65,25.17,16.85,45.87,19.4
317,11/4/2017,Zona Sur,594.88,526.38,47.83,55.46,72.56,64.01
318,11/4/2017,Caribe,451.11,437.3,0.00,0.00,36.75,39.22
319,11/4/2017,Huetar Norte,29.11,32.35,0.00,0.00,12.92,15.76
320,11/5/2017,Central y Norte,596.89,587.17,16.8,36.66,117.5,124.54
321,11/5/2017,Pacifico,1099.82,1162.74,25.17,16.84,45.87,15.57
322,11/5/2017,Zona Sur,599.07,495.74,47.83,50.14,72.56,38.31
323,11/5/2017,Caribe,451.11,438.22,0.00,0.00,36.75,37.3
324,11/5/2017,Huetar Norte,29.11,30.87,0.00,0.00,12.92,14.99
325,11/6/2017,Central y Norte,596.89,614.09,16.8,36.73,117.5,126.7
326,11/6/2017,Pacifico,1099.82,1221.96,25.17,16.87,45.87,25.61
327,11/6/2017,Zona Sur,599.07,480.35,47.83,54.9,72.56,68.93
328,11/6/2017,Caribe,451.11,432.52,0.00,0.00,36.75,40.17
329,11/6/2017,Huetar Norte,29.11,34.79,0.00,0.00,12.92,15.88
330,11/7/2017,Central y Norte,596.89,617.6,16.8,36.7,117.5,125.68
331,11/7/2017,Pacifico,1099.82,1261.05,25.17,16.82,45.87,28.39
332,11/7/2017,Zona Sur,599.07,503.14,47.83,54.99,72.56,67.16
333,11/7/2017,Caribe,454.86,424.32,0.00,0.00,36.75,39.33
334,11/7/2017,Huetar Norte,29.11,29.06,0.00,0.00,12.92,16.65
335,11/8/2017,Central y Norte,596.89,639.05,16.8,36.88,117.5,122.78
336,11/8/2017,Pacifico,1099.82,1238.80,25.17,16.88,45.87,29.9
337,11/8/2017,Zona Sur,608.86,535.91,47.83,55.23,72.56,51.5
338,11/8/2017,Caribe,454.86,430.26,0.00,0.00,36.75,37.18
339,11/8/2017,Huetar Norte,29.11,33.27,0.00,0.00,12.92,16.57
340,11/9/2017,Central y Norte,599.39,641.82,16.8,36.87,117.5,121.18
341,11/9/2017,Pacifico,1099.82,1230.78,25.17,16.89,45.87,32.05
342,11/9/2017,Zona Sur,608.86,575.15,47.83,55.53,72.56,52.96
343,11/9/2017,Caribe,454.86,426.79,0.00,0.00,36.75,35.99
344,11/9/2017,Huetar Norte,29.11,32.8,0.00,0.00,12.92,14.72
345,11/10/2017,Central y Norte,596.06,645.07,16.8,36.84,117.5,118.1
