,indice,fecha,Region,Generacion Termica actual (MU),Generacion Termica Estimada (MU),Generacion Eolica Actual (MU),Generacion Eolica Estimada (MU),Hidro Generacion Actual (MU),Hidro Generacion Estimada (MU),HDBSCAN_clusters
36,36,9/8/2017,Pacifico,1124.57,1189.75,25.17,3.83,72.0,35.86,-1
37,37,9/8/2017,Zona Sur,590.63,549.88,62.73,53.65,111.57,66.92,3
38,38,9/8/2017,Caribe,455.66,454.88,0.0,0.0,85.94,81.48,0
39,39,9/8/2017,Huetar Norte,29.11,20.85,0.0,0.0,24.64,24.32,1
40,40,9/9/2017,Central y Norte,631.16,717.43,30.36,35.58,273.27,278.05,-1
41,41,9/9/2017,Pacifico,1128.66,1204.61,25.17,3.87,72.0,38.57,-1
42,42,9/9/2017,Zona Sur,589.74,549.44,62.73,53.78,111.57,72.25,3
43,43,9/9/2017,Caribe,455.66,455.25,0.0,0.0,85.94,80.46,0
44,44,9/9/2017,Huetar Norte,29.11,18.92,0.0,0.0,24.64,24.94,1
45,45,9/10/2017,Central y Norte,620.05,729.84,30.36,35.72,273.27,275.4,-1
46,46,9/10/2017,Pacifico,1131.56,1218.51,25.17,3.84,72.0,33.9,-1
47,47,9/10/2017,Zona Sur,589.74,548.38,62.73,54.52,111.57,51.99,3
48,48,9/10/2017,Caribe,455.66,432.59,0.0,0.0,85.94,72.65,0
49,49,9/10/2017,Huetar Norte,29.11,23.01,0.0,0.0,24.64,26.7,1
50,50,9/11/2017,Central y Norte,623.3,733.92,30.36,35.66,273.27,283.93,-1
51,51,9/11/2017,Pacifico,1131.56,1203.65,25.17,3.82,72.0,54.72,-1
52,52,9/11/2017,Zona Sur,589.74,574.95,62.73,54.55,111.57,83.2,3
53,53,9/11/2017,Caribe,455.66,435.21,0.0,0.0,85.94,77.93,0
54,54,9/11/2017,Huetar Norte,29.11,23.32,0.0,0.0,24.64,22.78,1
55,55,9/12/2017,Central y Norte,623.3,739.87,30.36,34.56,273.27,271.18,-1
56,56,9/12/2017,Pacifico,1131.56,1194.99,25.17,3.81,72.0,74.08,-1
57,57,9/12/2017,Zona Sur,589.74,585.91,62.73,54.68,111.57,89.81,3
58,58,9/12/2017,Caribe,455.66,440.93,0.0,0.0,85.94,71.55,0
59,59,9/12/2017,Huetar Norte,29.11,25.41,0.0,0.0,24.64,24.12,1
60,60,9/13/2017,Central y Norte,628.08,753.8,30.36,30.69,273.27,263.43,-1
61,61,9/13/2017,Pacifico,1131.56,1196.4,25.17,3.89,72.0,61.8,-1
62,62,9/13/2017,Zona Sur,589.74,602.26,62.73,54.85,111.57,82.27,3
63,63,9/13/2017,Caribe,455.66,450.83,0.0,0.0,85.94,72.06,0
64,64,9/13/2017,Huetar Norte,29.11,27.89,0.0,0.0,24.64,25.06,1
65,65,9/14/2017,Central y Norte,628.08,720.86,30.36,30.71,273.27,257.44,-1
66,66,9/14/2017,Pacifico,1131.56,1209.96,25.17,3.86,72.0,62.05,-1
67,67,9/14/2017,Zona Sur,595.15,589.35,62.73,49.3,111.57,57.32,3
68,68,9/14/2017,Caribe,455.66,450.78,0.0,0.0,85.94,77.8,0
69,69,9/14/2017,Huetar Norte,29.11,29.45,0.0,0.0,24.64,24.85,1
70,70,9/15/2017,Central y Norte,628.08,703.6,30.36,30.66,273.27,260.56,-1
71,71,9/15/2017,Pacifico,1131.56,1243.93,25.17,3.84,72.0,41.27,-1
72,72,9/15/2017,Zona Sur,593.08,593.62,62.73,45.82,111.57,67.95,3
73,73,9/15/2017,Caribe,484.74,438.75,0.0,0.0,85.94,83.76,0
74,74,9/15/2017,Huetar Norte,29.11,28.63,0.0,0.0,24.64,20.8,1
75,75,9/16/2017,Central y Norte,628.08,728.47,30.36,30.65,273.27,246.99,-1
76,76,9/16/2017,Pacifico,1131.56,1228.99,25.17,3.83,72.0,17.06,-1
77,77,9/16/2017,Zona Sur,604.96,573.85,62.73,48.14,111.57,48.77,3
78,78,9/16/2017,Caribe,486.07,443.23,0.0,0.0,85.94,79.07,0
79,79,9/16/2017,Huetar Norte,29.11,29.85,0.0,0.0,24.64,19.61,1
80,80,9/17/2017,Central y Norte,628.08,682.88,30.36,30.79,273.27,242.68,-1
81,81,9/17/2017,Pacifico,1131.56,1164.03,25.17,3.87,72.0,12.37,-1
82,82,9/17/2017,Zona Sur,596.08,494.17,62.73,55.03,111.57,43.19,3
83,83,9/17/2017,Caribe,486.07,421.62,0.0,0.0,85.94,72.32,0
84,84,9/17/2017,Huetar Norte,29.11,28.72,0.0,0.0,24.64,19.98,1
85,85,9/18/2017,Central y Norte,628.08,701.28,30.36,28.65,273.27,244.07,-1
86,86,9/18/2017,Pacifico,1131.56,1172.61,25.17,3.85,72.0,15.09,-1
87,87,9/18/2017,Zona Sur,596.08,480.53,62.73,55.2,111.57,53.84,3
88,88,9/18/2017,Caribe,486.07,390.63,0.0,0.0,85.94,67.06,0
89,89,9/18/2017,Huetar Norte,29.11,28.67,0.0,0.0,24.64,20.88,1
90,90,9/19/2017,Central y Norte,628.08,704.14,30.36,26.21,273.27,240.35,-1
91,91,9/19/2017,Pacifico,1131.56,1171.83,25.17,3.85,72.0,15.72,-1
92,92,9/19/2017,Zona Sur,596.08,472.32,62.73,55.17,111.57,58.74,3
93,93,9/19/2017,Caribe,486.07,417.92,0.0,0.0,85.94,69.41,0
94,94,9/19/2017,Huetar Norte,29.11,30.77,0.0,0.0,24.64,20.24,1
95,95,9/20/2017,Central y Norte,624.13,719.08,30.36,26.15,273.27,238.72,-1
96,96,9/20/2017,Pacifico,1131.56,1138.76,25.17,3.85,72.0,19.65,-1
97,97,9/20/2017,Zona Sur,584.76,479.67,62.73,55.13,111.57,78.19,3
98,98,9/20/2017,Caribe,486.07,418.22,0.0,0.0,85.94,66.42,0
99,99,9/20/2017,Huetar Norte,29.11,30.31,0.0,0.0,24.64,21.97,1
100,100,9/21/2017,Central y Norte,624.13,710.69,30.36,26.18,273.27,239.27,-1
101,101,9/21/2017,Pacifico,1131.56,1142.49,25.17,3.84,72.0,16.74,-1
102,102,9/21/2017,Zona Sur,596.96,524.5,62.73,55.23,111.57,95.32,3
103,103,9/21/2017,Caribe,486.07,438.6,0.0,0.0,85.94,76.02,0
104,104,9/21/2017,Huetar Norte,29.11,27.53,0.0,0.0,24.64,22.08,1
105,105,9/22/2017,Central y Norte,222.44,209.74,0.0,0.0,68.81,62.09,-1
106,106,9/22/2017,Pacifico,419.55,409.17,0.0,0.0,44.54,3.8,0
107,107,9/22/2017,Zona Sur,270.69,191.91,0.0,0.0,0.0,0.0,1
108,108,9/22/2017,Caribe,147.51,138.3,0.0,0.0,3.37,2.65,1
109,109,9/22/2017,Huetar Norte,12.34,12.38,0.0,0.0,0.0,0.0,1
110,110,9/23/2017,Central y Norte,624.13,523.93,30.36,30.2,273.27,279.9,-1
111,111,9/23/2017,Pacifico,1135.69,1146.57,25.17,3.83,72.0,21.41,-1
112,112,9/23/2017,Zona Sur,587.32,578.34,62.73,55.46,111.57,101.99,3
113,113,9/23/2017,Caribe,486.07,436.38,0.0,0.0,85.94,73.2,0
114,114,9/23/2017,Huetar Norte,29.11,28.05,0.0,0.0,24.64,21.42,1
115,115,9/24/2017,Central y Norte,624.13,520.12,30.36,31.43,273.27,292.18,-1
116,116,9/24/2017,Pacifico,1140.12,1168.59,25.17,3.83,72.0,16.95,-1
117,117,9/24/2017,Zona Sur,587.32,556.37,62.73,55.38,111.57,72.42,3
118,118,9/24/2017,Caribe,486.07,437.88,0.0,0.0,85.94,64.41,0
119,119,9/24/2017,Huetar Norte,29.11,29.49,0.0,0.0,24.64,24.36,1
120,120,9/25/2017,Central y Norte,624.13,571.59,30.36,31.41,273.27,303.26,-1
121,121,9/25/2017,Pacifico,1140.12,1205.39,25.17,3.82,72.0,23.85,-1
122,122,9/25/2017,Zona Sur,591.15,550.65,62.73,55.41,111.57,77.38,3
123,123,9/25/2017,Caribe,486.07,449.09,0.0,0.0,85.94,71.43,0
124,124,9/25/2017,Huetar Norte,29.11,29.55,0.0,0.0,24.64,22.31,1
125,125,9/26/2017,Central y Norte,626.73,646.01,30.36,31.99,273.27,261.67,-1
126,126,9/26/2017,Pacifico,1140.12,1237.06,25.17,3.84,72.0,28.24,-1
127,127,9/26/2017,Zona Sur,591.15,535.81,62.73,52.14,111.57,87.54,3
128,128,9/26/2017,Caribe,486.07,453.26,0.0,0.0,85.94,72.9,0
129,129,9/26/2017,Huetar Norte,29.11,30.02,0.0,0.0,24.64,21.85,1
130,130,9/27/2017,Central y Norte,626.73,661.69,30.36,35.54,273.27,254.28,-1
131,131,9/27/2017,Pacifico,1140.12,1245.38,25.17,3.85,72.0,30.32,-1
132,132,9/27/2017,Zona Sur,591.15,543.71,62.73,42.16,111.57,79.2,3
133,133,9/27/2017,Caribe,486.07,445.78,0.0,0.0,85.94,73.83,0
134,134,9/27/2017,Huetar Norte,29.11,30.1,0.0,0.0,24.64,21.47,1
135,135,9/28/2017,Central y Norte,630.62,668.2,30.36,35.75,273.27,248.29,-1
136,136,9/28/2017,Pacifico,1140.12,1241.16,25.17,3.83,72.0,26.39,-1
137,137,9/28/2017,Zona Sur,591.15,513.01,62.73,42.24,111.57,82.36,3
138,138,9/28/2017,Caribe,486.07,431.07,0.0,0.0,85.94,70.97,0
139,139,9/28/2017,Huetar Norte,29.11,30.25,0.0,0.0,24.64,22.83,1
140,140,9/29/2017,Central y Norte,630.62,649.48,30.36,35.81,273.27,240.09,-1
141,141,9/29/2017,Pacifico,1140.12,1203.24,25.17,16.81,72.0,19.59,2
142,142,9/29/2017,Zona Sur,601.66,485.78,62.73,40.27,111.57,83.47,3
143,143,9/29/2017,Caribe,486.07,417.12,0.0,0.0,85.94,71.65,0
144,144,9/29/2017,Huetar Norte,29.11,29.71,0.0,0.0,24.64,25.09,1
145,145,9/30/2017,Central y Norte,630.62,661.15,30.36,35.83,273.27,236.19,-1
146,146,9/30/2017,Pacifico,1140.12,1134.4,25.17,16.82,72.0,18.41,2
147,147,9/30/2017,Zona Sur,601.66,475.84,62.73,40.47,111.57,69.71,3
148,148,9/30/2017,Caribe,486.07,403.41,0.0,0.0,85.94,71.71,0
149,149,9/30/2017,Huetar Norte,29.11,29.41,0.0,0.0,24.64,27.65,1
150,150,10/1/2017,Central y Norte,621.75,650.52,25.8,36.17,157.46,222.85,3
151,151,10/1/2017,Pacifico,1155.3,1139.73,25.13,16.84,57.11,14.03,2
152,152,10/1/2017,Zona Sur,575.7,466.38,47.73,40.16,92.06,49.74,3
153,153,10/1/2017,Caribe,479.5,382.63,0.0,0.0,63.36,71.06,0
154,154,10/1/2017,Huetar Norte,29.16,29.11,0.0,0.0,17.17,27.48,1
155,155,10/3/2017,Central y Norte,621.75,691.52,25.8,36.03,157.46,218.56,3
156,156,10/3/2017,Pacifico,1155.3,1215.31,25.13,16.83,57.11,39.96,2
157,157,10/3/2017,Zona Sur,575.7,523.36,47.73,41.91,92.06,67.76,3
158,158,10/3/2017,Caribe,479.5,396.4,0.0,0.0,63.36,76.3,0
159,159,10/3/2017,Huetar Norte,29.16,29.33,0.0,0.0,17.17,25.78,1
160,160,10/4/2017,Central y Norte,621.75,719.34,25.8,35.95,157.46,216.91,3
161,161,10/4/2017,Pacifico,1155.3,1206.24,25.13,16.84,57.11,45.92,2
162,162,10/4/2017,Zona Sur,575.7,548.0,47.73,43.93,92.06,80.9,3
163,163,10/4/2017,Caribe,479.5,387.92,0.0,0.0,63.36,80.68,0
164,164,10/4/2017,Huetar Norte,29.16,30.12,0.0,0.0,17.17,25.15,1
165,165,10/5/2017,Central y Norte,621.75,741.62,25.8,35.91,157.46,212.62,3
166,166,10/5/2017,Pacifico,1150.82,1221.59,25.13,16.83,57.11,33.89,2
167,167,10/5/2017,Zona Sur,575.7,577.17,47.73,45.3,92.06,74.98,3
168,168,10/5/2017,Caribe,479.5,387.85,0.0,0.0,63.36,81.2,0
169,169,10/5/2017,Huetar Norte,29.16,31.05,0.0,0.0,17.17,24.35,1
170,170,10/6/2017,Central y Norte,621.75,742.06,25.8,35.87,157.46,209.7,3
171,171,10/6/2017,Pacifico,1150.82,1212.64,25.13,16.83,57.11,31.23,2
172,172,10/6/2017,Zona Sur,581.31,569.68,47.73,45.87,92.06,65.89,3
173,173,10/6/2017,Caribe,479.5,401.48,0.0,0.0,63.36,77.08,0
174,174,10/6/2017,Huetar Norte,29.16,31.36,0.0,0.0,17.17,23.01,1
175,175,10/7/2017,Central y Norte,621.75,750.1,25.8,36.04,157.46,208.0,3
176,176,10/7/2017,Pacifico,1150.82,1203.27,25.13,16.83,57.11,24.51,2
177,177,10/7/2017,Zona Sur,581.31,573.48,47.73,46.09,92.06,74.06,3
178,178,10/7/2017,Caribe,479.5,402.74,0.0,0.0,63.36,73.75,0
179,179,10/7/2017,Huetar Norte,29.16,30.95,0.0,0.0,17.17,21.94,1
180,180,10/8/2017,Central y Norte,621.75,728.14,25.8,36.1,157.46,200.47,3
181,181,10/8/2017,Pacifico,1150.82,1157.01,25.13,16.84,57.11,16.51,2
182,182,10/8/2017,Zona Sur,590.19,524.03,47.73,46.26,92.06,71.65,3
183,183,10/8/2017,Caribe,479.5,404.25,0.0,0.0,63.36,72.49,0
184,184,10/8/2017,Huetar Norte,29.16,30.12,0.0,0.0,17.17,19.52,1
185,185,10/9/2017,Central y Norte,621.75,727.35,25.8,36.01,157.46,195.33,3
186,186,10/9/2017,Pacifico,1155.3,1160.06,25.13,16.83,57.11,18.71,2
187,187,10/9/2017,Zona Sur,590.19,550.53,47.73,46.15,92.06,94.72,3
188,188,10/9/2017,Caribe,479.5,413.99,0.0,0.0,63.36,66.62,0
189,189,10/9/2017,Huetar Norte,29.16,30.21,0.0,0.0,17.17,20.29,1
190,190,10/10/2017,Central y Norte,621.75,721.26,25.8,36.06,157.46,191.8,3
191,191,10/10/2017,Pacifico,1155.3,1178.27,25.13,15.68,57.11,19.31,2
192,192,10/10/2017,Zona Sur,590.19,558.62,47.73,46.2,92.06,111.74,3
193,193,10/10/2017,Caribe,479.5,419.5,0.0,0.0,63.36,69.8,0
194,194,10/10/2017,Huetar Norte,29.16,30.48,0.0,0.0,17.17,21.31,1
195,195,10/11/2017,Central y Norte,621.75,714.42,25.8,35.96,157.46,185.07,3
196,196,10/11/2017,Pacifico,1155.3,1191.84,25.13,16.02,57.11,19.11,2
197,197,10/11/2017,Zona Sur,598.81,571.5,47.73,46.36,92.06,102.52,3
198,198,10/11/2017,Caribe,486.88,416.31,0.0,0.0,63.36,73.77,0
199,199,10/11/2017,Huetar Norte,29.16,30.17,0.0,0.0,17.17,21.88,1
200,200,10/12/2017,Central y Norte,621.75,703.75,25.8,35.79,157.46,180.93,3
201,201,10/12/2017,Pacifico,1155.3,1219.13,25.13,16.63,57.11,19.93,2
202,202,10/12/2017,Zona Sur,598.81,574.58,47.73,46.41,92.06,102.35,3
203,203,10/12/2017,Caribe,486.88,412.28,0.0,0.0,63.36,76.79,0
204,204,10/12/2017,Huetar Norte,29.16,29.92,0.0,0.0,17.17,19.9,1
205,205,10/13/2017,Central y Norte,621.75,704.49,25.8,36.05,157.46,177.37,3
206,206,10/13/2017,Pacifico,1155.3,1226.64,25.13,16.88,57.11,21.27,2
207,207,10/13/2017,Zona Sur,598.81,565.98,47.73,46.48,92.06,105.72,3
208,208,10/13/2017,Caribe,486.88,400.19,0.0,0.0,63.36,72.37,0
209,209,10/13/2017,Huetar Norte,29.16,29.63,0.0,0.0,17.17,21.15,1
210,210,10/14/2017,Central y Norte,618.71,684.25,25.8,36.09,157.46,170.48,3
211,211,10/14/2017,Pacifico,1155.3,1205.16,25.13,16.82,57.11,19.68,2
212,212,10/14/2017,Zona Sur,598.81,558.71,47.73,46.41,92.06,95.59,3
213,213,10/14/2017,Caribe,486.88,419.29,0.0,0.0,63.36,74.79,0
214,214,10/14/2017,Huetar Norte,29.16,28.71,0.0,0.0,17.17,20.9,1
215,215,10/15/2017,Central y Norte,633.77,655.21,25.8,36.08,157.46,165.81,3
216,216,10/15/2017,Pacifico,1155.3,1180.41,25.13,16.89,57.11,17.75,2
217,217,10/15/2017,Zona Sur,594.31,478.54,47.73,46.67,92.06,88.74,3
218,218,10/15/2017,Caribe,486.88,407.83,0.0,0.0,63.36,76.3,0
219,219,10/15/2017,Huetar Norte,29.16,29.87,0.0,0.0,17.17,23.29,1
220,220,10/16/2017,Central y Norte,626.17,656.71,25.8,36.31,157.46,161.47,3
221,221,10/16/2017,Pacifico,1155.3,1211.94,25.13,16.89,57.11,21.39,2
222,222,10/16/2017,Zona Sur,602.87,493.32,47.73,48.22,92.06,96.55,3
223,223,10/16/2017,Caribe,486.88,413.23,0.0,0.0,63.36,49.46,0
224,224,10/16/2017,Huetar Norte,29.16,30.68,0.0,0.0,17.17,21.29,1
225,225,10/17/2017,Central y Norte,629.21,684.75,25.8,36.35,157.46,160.11,3
226,226,10/17/2017,Pacifico,1155.3,1219.8,25.13,16.86,57.11,18.38,2
227,227,10/17/2017,Zona Sur,602.87,528.9,47.73,50.7,92.06,98.5,3
228,228,10/17/2017,Caribe,486.88,436.6,0.0,0.0,63.36,63.63,0
229,229,10/17/2017,Huetar Norte,29.16,34.05,0.0,0.0,17.17,20.2,1
230,230,10/18/2017,Central y Norte,629.21,670.18,25.8,36.43,157.46,156.53,3
231,231,10/18/2017,Pacifico,1155.3,1189.18,25.13,16.86,57.11,15.19,2
232,232,10/18/2017,Zona Sur,589.87,510.02,47.73,52.29,92.06,85.72,3
233,233,10/18/2017,Caribe,486.88,432.78,0.0,0.0,63.36,59.9,0
234,234,10/18/2017,Huetar Norte,29.16,33.71,0.0,0.0,17.17,20.02,1
235,235,10/19/2017,Central y Norte,639.52,628.37,25.8,36.34,157.46,157.32,3
236,236,10/19/2017,Pacifico,1153.02,1121.42,25.13,16.85,57.11,14.78,2
237,237,10/19/2017,Zona Sur,594.32,464.41,47.73,41.63,92.06,85.16,3
238,238,10/19/2017,Caribe,486.88,421.01,0.0,0.0,63.36,54.78,0
239,239,10/19/2017,Huetar Norte,29.16,31.1,0.0,0.0,17.17,17.45,1
240,240,10/20/2017,Central y Norte,628.36,588.78,25.8,36.12,157.46,154.62,3
241,241,10/20/2017,Pacifico,1128.44,1055.67,25.13,16.85,57.11,11.26,2
242,242,10/20/2017,Zona Sur,594.32,483.91,47.73,43.79,92.06,90.58,3
243,243,10/20/2017,Caribe,484.8,405.91,0.0,0.0,63.36,55.7,0
244,244,10/20/2017,Huetar Norte,29.16,28.76,0.0,0.0,17.17,16.83,1
245,245,10/21/2017,Central y Norte,628.36,580.35,25.8,36.26,157.46,152.29,3
246,246,10/21/2017,Pacifico,1128.44,1056.42,25.13,16.87,57.11,15.28,2
247,247,10/21/2017,Zona Sur,594.32,525.17,47.73,44.67,92.06,77.77,3
248,248,10/21/2017,Caribe,473.75,396.47,0.0,0.0,63.36,53.33,0
249,249,10/21/2017,Huetar Norte,29.16,27.34,0.0,0.0,17.17,17.32,1
250,250,10/22/2017,Central y Norte,628.36,593.12,25.8,36.44,157.46,151.8,3
251,251,10/22/2017,Pacifico,1128.44,1049.49,25.13,16.85,57.11,12.52,2
252,252,10/22/2017,Zona Sur,594.32,512.06,47.73,46.27,92.06,61.65,3
253,253,10/22/2017,Caribe,469.18,412.41,0.0,0.0,63.36,54.17,0
254,254,10/22/2017,Huetar Norte,29.16,26.81,0.0,0.0,17.17,22.23,1
255,255,10/23/2017,Central y Norte,628.36,618.21,25.8,36.49,157.46,149.28,3
256,256,10/23/2017,Pacifico,1128.44,1131.33,25.13,16.85,57.11,17.87,2
257,257,10/23/2017,Zona Sur,603.99,555.74,47.73,49.1,92.06,85.78,3
258,258,10/23/2017,Caribe,467.82,431.59,0.0,0.0,63.36,53.03,0
259,259,10/23/2017,Huetar Norte,29.16,28.16,0.0,0.0,17.17,23.78,1
260,260,10/24/2017,Central y Norte,625.88,643.17,25.8,36.56,157.46,141.92,3
261,261,10/24/2017,Pacifico,1128.44,1181.98,25.13,16.91,57.11,17.72,2
262,262,10/24/2017,Zona Sur,603.99,608.18,47.73,51.06,92.06,72.52,3
263,263,10/24/2017,Caribe,467.82,440.35,0.0,0.0,63.36,64.65,0
264,264,10/24/2017,Huetar Norte,29.16,29.52,0.0,0.0,17.17,23.06,1
265,265,10/25/2017,Central y Norte,625.88,639.06,25.8,36.58,157.46,139.43,3
266,266,10/25/2017,Pacifico,1127.02,1198.23,25.13,16.77,57.11,22.42,2
267,267,10/25/2017,Zona Sur,615.28,607.05,47.73,52.72,92.06,89.02,3
268,268,10/25/2017,Caribe,467.82,438.69,0.0,0.0,63.36,58.72,0
269,269,10/25/2017,Huetar Norte,29.16,28.7,0.0,0.0,17.17,22.27,1
270,270,10/26/2017,Central y Norte,625.88,619.47,25.8,36.55,157.46,138.04,3
271,271,10/26/2017,Pacifico,1127.02,1196.07,25.13,16.89,57.11,20.57,2
272,272,10/26/2017,Zona Sur,615.28,599.14,47.73,52.81,92.06,86.3,3
273,273,10/26/2017,Caribe,467.82,439.32,0.0,0.0,63.36,54.62,0
274,274,10/26/2017,Huetar Norte,29.16,28.93,0.0,0.0,17.17,20.61,1
275,275,10/27/2017,Central y Norte,625.88,623.01,25.8,36.65,157.46,138.15,3
276,276,10/27/2017,Pacifico,1127.02,1204.84,25.13,16.85,57.11,22.28,2
277,277,10/27/2017,Zona Sur,615.28,610.91,47.73,53.12,92.06,77.1,3
278,278,10/27/2017,Caribe,469.9,429.63,0.0,0.0,63.36,47.09,0
279,279,10/27/2017,Huetar Norte,29.16,28.62,0.0,0.0,17.17,19.41,1
280,280,10/28/2017,Central y Norte,614.95,625.74,25.8,36.6,157.46,135.12,3
281,281,10/28/2017,Pacifico,1127.02,1209.65,25.13,16.85,57.11,20.68,2
282,282,10/28/2017,Zona Sur,615.28,604.0,47.73,53.9,92.06,71.45,3
283,283,10/28/2017,Caribe,469.9,429.2,0.0,0.0,63.36,42.38,0
284,284,10/28/2017,Huetar Norte,29.16,27.32,0.0,0.0,17.17,19.11,1
285,285,10/29/2017,Central y Norte,614.95,586.92,25.8,36.66,157.46,132.36,3
286,286,10/29/2017,Pacifico,1127.02,1191.91,25.13,16.84,57.11,17.71,2
287,287,10/29/2017,Zona Sur,615.28,583.51,47.73,55.06,92.06,58.36,3
288,288,10/29/2017,Caribe,469.9,422.93,0.0,0.0,63.36,41.81,0
289,289,10/29/2017,Huetar Norte,29.16,28.06,0.0,0.0,17.17,19.27,1
290,290,10/30/2017,Central y Norte,614.95,582.12,25.8,36.65,157.46,132.53,3
291,291,10/30/2017,Pacifico,1127.02,1213.04,25.13,16.84,57.11,16.62,2
292,292,10/30/2017,Zona Sur,615.28,582.53,47.73,55.46,92.06,63.28,3
293,293,10/30/2017,Caribe,469.9,425.51,0.0,0.0,63.36,40.32,0
294,294,10/30/2017,Huetar Norte,29.16,28.94,0.0,0.0,17.17,19.26,1
295,295,10/31/2017,Central y Norte,614.95,587.37,25.8,36.67,157.46,131.11,3
296,296,10/31/2017,Pacifico,1127.02,1229.73,25.13,16.85,57.11,20.03,2
297,297,10/31/2017,Zona Sur,622.28,570.04,47.73,55.57,92.06,70.49,3
298,298,10/31/2017,Caribe,469.9,422.94,0.0,0.0,63.36,41.37,0
299,299,10/31/2017,Huetar Norte,29.16,28.6,0.0,0.0,17.17,19.04,1
300,300,11/1/2017,Central y Norte,596.89,597.39,16.8,36.61,117.5,130.08,-1
301,301,11/1/2017,Pacifico,1100.43,1204.17,25.17,16.89,45.87,19.18,2
302,302,11/1/2017,Zona Sur,594.88,559.27,47.83,55.68,72.56,55.19,3
303,303,11/1/2017,Caribe,451.11,430.68,0.0,0.0,36.75,39.83,0
304,304,11/1/2017,Huetar Norte,29.11,32.12,0.0,0.0,12.92,17.97,1
305,305,11/2/2017,Central y Norte,596.89,610.59,16.8,36.55,117.5,132.07,-1
306,306,11/2/2017,Pacifico,1100.43,1204.19,25.17,16.87,45.87,22.3,2
307,307,11/2/2017,Zona Sur,594.88,544.18,47.83,55.78,72.56,72.05,3
308,308,11/2/2017,Caribe,451.11,422.37,0.0,0.0,36.75,40.95,0
309,309,11/2/2017,Huetar Norte,29.11,33.99,0.0,0.0,12.92,16.71,1
310,310,11/3/2017,Central y Norte,596.89,610.97,16.8,36.64,117.5,129.47,-1
